Row Labels,ABQ,ATL,AUS,BHM,BNA,BOS,BWI,CLE,CLT,CVG,DAL,DEN,DFW,ELP,EWR,FLL,HOU,HRL,IAD,IAH,IND,JAX,JFK,LAS,LAX,LBB,LGB,MAF,MCI,MCO,MDW,MEM,MSP,MSY,OAK,OKC,ONT,ORD,PHL,PHX,RDU,SAN,SEA,SFO,SJC,SLC,SNA,STL,TPA,TUL,TUS,TYS
13,3.214285714,20.82191781,4.052765416,,16.125,1.333333333,10.875,27.18181818,5.409090909,6.142857143,7.279329609,0.988636364,4.097142857,5,7.931034483,-4.8125,8.289855072,12.09090909,28.61904762,0.955357143,-7.428571429,5.428571429,5.23255814,8.225,-1.924528302,-1.173913043,10.375,-4.533333333,-4.714285714,2.380952381,27.47826087,0.555555556,-17,7.928571429,-1,5.333333333,9.909090909,20.15189873,-2.444444444,4.181818182,27.125,1.958333333,-9.6,1.45,11.71428571,4.578947368,13.125,-17,0.333333333,-11.66666667,32.125,
14,5.8,20.04054054,4.411439114,,1.964285714,-8.272727273,0.666666667,4.928571429,9.772727273,7.130434783,4.377777778,5.934782609,11.92222222,0.444444444,18.8125,-3.4375,3.753424658,5.5,41.14285714,3.582608696,-4.285714286,7,5.292682927,-2.05,2.237288136,1.695652174,-2.625,3.266666667,4.411764706,-10.0952381,-2.913043478,9.961538462,-19,-4.533333333,-5.75,0.666666667,1,19.32142857,13.11111111,4.391304348,50.25,-0.875,5.6,-4.95,5.5625,-0.105263158,-1.125,-16.33333333,6.833333333,-10.66666667,19.375,
15,-1.933333333,19.25675676,8.069072806,,5.92,9.083333333,-0.916666667,21.75,2.590909091,18.95454545,9.120218579,7.25,20.15517241,7.477272727,25.46666667,2,8.779411765,13.5,29.95238095,22.43697479,8.375,6.125,14.46153846,4.19047619,2.163636364,0.52173913,19.125,-4.066666667,5.9375,3.238095238,8.086956522,2,22.5,2.9375,-0.25,63,14,13.97590361,-17.33333333,5.27173913,27.71428571,14.13043478,-8.6,6.3,2.46875,4.8125,7.875,-1.666666667,12.16666667,3,19.25,
16,9.909090909,10.27777778,6.343984962,,29,1.583333333,4.875,6.333333333,22.59090909,13.0952381,9.116666667,8.844444444,16.70285714,3.066666667,28,-8.066666667,7.708333333,9.833333333,23.1,8.372881356,-1.375,7,21.57142857,1.974358974,1.224137931,1.217391304,4.125,8.928571429,7.625,2.2,23.65217391,0.12,12.5,-7.230769231,0.625,76.66666667,7.111111111,14.98809524,18.88888889,3.554347826,57.14285714,4.695652174,7.8,-4.157894737,2.516129032,12.5,17.125,-5.5,7.166666667,39,9.857142857,98
17,1.846153846,13.38571429,5.720687538,,15.23076923,2.833333333,9.25,6.416666667,9.727272727,15.95652174,11.90217391,5.793478261,10.89142857,13.15909091,6.193548387,4.5625,10.04,13.5,38.22727273,2.709677419,13.625,3,6,4.714285714,3.237288136,1.739130435,8.875,-2.25,8.857142857,6.380952381,5.208333333,5.607142857,71,4.769230769,0.5,7,14.8,10.35,26.3,4.096774194,22.5,6.833333333,53.6,4,8.35483871,22.94736842,14.875,10,-2.833333333,-6,2.857142857,
18,-1.5,8.067567568,11.73639144,,12.04,2.333333333,3.333333333,16.92307692,17.31818182,16.76190476,16.59677419,13.77777778,16.12352941,2.159090909,22.90909091,14.8125,14.28947368,11.27272727,21.9,8.727272727,1.857142857,15.375,13.88372093,2.425,6.928571429,1.52173913,1.5,26.125,5.875,4.95,14.41666667,9.555555556,-0.5,-1.625,4.875,72.66666667,17.18181818,15.30487805,5.3,7.688172043,44.875,4.041666667,2.8,4,21.93939394,10.89473684,13.625,23.66666667,2.5,15.33333333,2.125,98
19,-2.769230769,11.42857143,6.778485041,,31.28,-0.916666667,11,6.916666667,3.545454545,11.63157895,13.25903614,6.08988764,12.33522727,2.454545455,18.93103448,1.3125,17.91780822,9.416666667,11.54545455,6.743589744,-9.714285714,-2.125,18.36363636,3.666666667,-2.035087719,-4.909090909,30.25,4,-5.6875,-3.285714286,3.916666667,3.615384615,4,-6.153846154,5.375,-5.333333333,8.5,5.0625,33.4,7.211111111,14.14285714,5.227272727,25.4,3.25,5.733333333,11.9375,7.75,-7.333333333,7.75,-15,3.625,
20,15.6875,19.2,4.27300995,,23.375,6.25,5.333333333,16.33333333,20.36363636,8.095238095,2.733695652,6.894117647,6.196629213,2.452380952,35.86206897,5.75,12.83561644,5.5,27.4,10.71544715,5.5,-9.5,29,-4.292682927,-0.145454545,-2.695652174,20.25,-1.6,-3.75,14.14285714,26.69565217,-2.148148148,-1.5,-8.066666667,-2.428571429,97.66666667,29.45454545,10.51851852,-2.2,-0.533333333,38,-2.833333333,4.4,9.5,-2.933333333,2.222222222,13.25,-17.66666667,5.666666667,-7,13,
21,2.8,17.2972973,6.22134627,36,12.85714286,-3.545454545,6.625,17.61538462,19.09090909,13.60869565,6.069518717,7,8.527472527,7.622222222,20.39393939,0.5,9.692307692,11.16666667,26.57142857,15.1557377,10.57142857,-0.625,20.83333333,0.871794872,0.844827586,2.956521739,6,-2.0625,13.35714286,4.380952381,8.565217391,-4.592592593,12,-7.733333333,-3.25,1.333333333,11.36363636,21.7654321,16.6,5.419354839,20.5,6.583333333,-1.6,-2.1,-2.272727273,42.15789474,-1.875,43,33.16666667,-13,-3.625,
22,1.666666667,21.77777778,9.796631316,,22.08,7,23.04166667,19.92307692,12.86363636,12.05,9.303867403,8.579545455,12.18181818,9.636363636,20.03571429,51,18.05405405,5.833333333,5.6,8.966101695,-11.14285714,2,24.15,3.357142857,2.142857143,2.409090909,10.625,0.928571429,47.5,9,11.65217391,12.2962963,12.5,6.466666667,-1,-12,16.6,23.75,-12.9,-0.206521739,68.14285714,18.04347826,6,3.75,0.612903226,6.117647059,-5,16.66666667,4,-9.333333333,10.5,
